5,1,Ahmet,Karahanlı,AhmetKarahanlı,AhmetKarahanlı@mail.com,1,118,19
1,2,Memo,Soran,MemoSoran,MemoSoran@mail.com,1,192,18
9,3,Mustafa,Deli,MustafaDeli,MustafaDeli@mail.com,2,20,5
5,4,Ahmet,Karahanlı,AhmetKarahanlı,AhmetKarahanlı@mail.com,2,25,10
10,5,Ayşe,Aşkol,AyşeAşkol,AyşeAşkol@mail.com,2,28,16
8,6,Fatma,Hayron,FatmaHayron,FatmaHayron@mail.com,2,194,6
8,7,Fatma,Hayron,FatmaHayron,FatmaHayron@mail.com,2,197,17
3,8,Zeliha,Zennu,ZelihaZennu,ZelihaZennu@mail.com,2,113,2
1,9,Memo,Soran,MemoSoran,MemoSoran@mail.com,1,89,7
10,10,Nalan,Dost,NalanDost,NalanDost@mail.com,2,66,1
12,11,Alev,Alev,AlevAlev,AlevAlev@mail.com,2,175,1
3,12,Zeliha,Zennu,ZelihaZennu,ZelihaZennu@mail.com,2,60,3
5,13,Ahmet,Karahanlı,AhmetKarahanlı,AhmetKarahanlı@mail.com,1,191,17
2,14,Mehmet,Yangın,MehmetYangın,MehmetYangın@mail.com,2,91,3
15,15,Derya,Bostan,DeryaBostan,DeryaBostan@mail.com,2,173,11
2,16,Mehmet,Yangın,MehmetYangın,MehmetYangın@mail.com,2,38,15
1,17,Memo,Soran,MemoSoran,MemoSoran@mail.com,1,134,13
2,18,Mehmet,Yangın,MehmetYangın,MehmetYangın@mail.com,2,88,20
2,19,Mehmet,Yangın,MehmetYangın,MehmetYangın@mail.com,2,55,3
12,20,Alev,Alev,AlevAlev,AlevAlev@mail.com,2,54,11
5,21,Ahmet,Karahanlı,AhmetKarahanlı,AhmetKarahanlı@mail.com,1,194,18
5,22,Ahmet,Karahanlı,AhmetKarahanlı,AhmetKarahanlı@mail.com,1,9,14
13,23,Müntaha,Kırık,MüntahaKırık,MüntahaKırık@mail.com,2,137,19
6,24,Mahmut,Nerede,MahmutNerede,MahmutNerede@mail.com,2,116,10
5,25,Ahmet,Karahanlı,AhmetKarahanlı,AhmetKarahanlı@mail.com,1,132,17
13,26,Müntaha,Kırık,MüntahaKırık,MüntahaKırık@mail.com,2,76,20
5,27,Ahmet,Karahanlı,AhmetKarahanlı,AhmetKarahanlı@mail.com,1,53,5
6,28,Ahmet,Karahanlı,AhmetKarahanlı,AhmetKarahanlı@mail.com,1,21,19
6,29,Mahmut,Nerede,MahmutNerede,MahmutNerede@mail.com,2,60,1
8,30,Fatma,Hayron,FatmaHayron,FatmaHayron@mail.com,2,96,19
14,31,Hülya,Yılmaz,HülyaYılmaz,HülyaYılmaz@mail.com,2,183,6
6,32,Mahmut,Nerede,MahmutNerede,MahmutNerede@mail.com,2,159,6
11,33,Memati,Baş,MematiBaş,MematiBaş@mail.com,2,115,8
4,34,İskender,Büyük,İskenderBüyük,İskenderBüyük@mail.com,2,38,1
9,35,Mustafa,Deli,MustafaDeli,MustafaDeli@mail.com,2,138,2
